task,fleet_size,locations,infrastructure,policy,order,seed,policy_seed,day,started_utc,process_seconds,requests,steps,reset_seconds,wall_seconds,agent_seconds,environment_seconds,overhead_seconds,ms_per_decision_epoch,agent_ms_per_epoch,environment_ms_per_epoch,reward
12,1000,40,S40_10_20,random,1,100000,200000,5,2026-09-09T15:49:59.101690+00:00,27.611679903000095,20000,36570,0.12687026103958488,27.77610479807481,6.889359217137098,20.85708356287796,0.02966201805975288,0.7595325348119992,0.18838827501058514,0.5703331573114017,307332.11003449553
12,1000,40,S40_10_20,ppo_sampled,2,100000,200000,5,2026-09-09T15:50:27.005455+00:00,31.20998574799978,20000,36473,0.12708147708326578,31.425611892947927,10.82433784333989,20.572202491224743,0.02907155838329345,0.8616130258807317,0.29677673466234994,0.5640392205528677,309118.87101009965
12,1000,40,S40_10_20,random,0,100001,200001,17,2026-09-09T15:50:58.597163+00:00,28.19925949799972,20000,37145,0.1654658569023013,28.39692469802685,7.030160441994667,21.33688757766504,0.02987667836714536,0.764488482919016,0.1892626313634316,0.5744215258491059,318246.83355525526
12,1000,40,S40_10_20,ppo_sampled,1,100001,200001,17,2026-09-09T15:51:27.121253+00:00,31.27316143200005,20000,36823,0.12665538699366152,31.479447355028242,10.852308967267163,20.597633787663653,0.029504600097425282,0.8548854616687462,0.2947155030080972,0.5593687040073773,320592.66252578126
12,1000,40,S40_10_20,nearest,2,100001,200001,17,2026-09-09T15:51:58.728519+00:00,15.73333327499995,20000,20096,0.12715615704655647,15.83146434999071,6.051939597004093,9.763746244832873,0.015778508153744042,0.7877918167789963,0.30115145287639794,0.48585520724685877,339820.6078942108
12,1000,40,S40_10_20,ppo_sampled,0,100002,200002,31,2026-09-09T15:52:14.711219+00:00,31.128157826999995,20000,36621,0.1507064721081406,31.321584122022614,10.803655722062103,20.488958909874782,0.028969490085728467,0.8552902466350623,0.29501258081598275,0.5594866035846859,320990.83520036115
12,1000,40,S40_10_20,nearest,1,100002,200002,31,2026-09-09T15:52:46.160654+00:00,15.340402973999971,20000,20096,0.1272295939270407,15.439595169969834,5.9691569653805345,9.45478846936021,0.015649735229089856,0.7682919571043907,0.29703209421678617,0.47048111412023336,337264.3816999067
12,1000,40,S40_10_20,random,2,100002,200002,31,2026-09-09T15:53:01.730697+00:00,27.9015123449999,20000,36724,0.12985462800133973,28.090860688011162,6.985534119885415,21.075736831640825,0.02958973648492247,0.7649183282869829,0.19021713647438773,0.5738954588726943,317343.71879504
12,1000,40,S40_10_20,nearest,0,100003,200003,30,2026-09-09T15:53:29.973321+00:00,15.695354793000206,20000,20096,0.15113665896933526,15.803898551966995,6.054012639098801,9.734145481372252,0.015740431495942175,0.7864201110652366,0.30125460982776675,0.4843822393198772,338451.48458921176
12,1000,40,S40_10_20,random,1,100003,200003,30,2026-09-09T15:53:45.905743+00:00,27.910091848999855,20000,36656,0.1279674080433324,28.108242533984594,6.989262796356343,21.08939437835943,0.029585359268821776,0.7668115051829058,0.19067172622098272,0.5753326707321974,314728.42886226025
