task,fleet_size,locations,policy,episodes,wall_seconds_median,wall_seconds_q1,wall_seconds_q3,agent_seconds_median,agent_seconds_q1,agent_seconds_q3,environment_seconds_median,environment_seconds_q1,environment_seconds_q3,overhead_seconds_median,overhead_seconds_q1,overhead_seconds_q3,steps_median,steps_q1,steps_q3,ms_per_decision_epoch_median,ms_per_decision_epoch_q1,ms_per_decision_epoch_q3,agent_ms_per_epoch_median,agent_ms_per_epoch_q1,agent_ms_per_epoch_q3,environment_ms_per_epoch_median,environment_ms_per_epoch_q1,environment_ms_per_epoch_q3
11,1000,20,ppo_sampled,5,28.943878635996956,28.804760521044955,28.97279373393394,9.14948662428651,9.10469066852238,9.150818550493568,19.763272336218503,19.68747894384433,19.79368637385778,0.0293919134419411,0.0290801589144393,0.0296207357896491,36476.0,36469.0,36505.0,0.7928743634021902,0.7896907698499,0.7936045935485174,0.2503615876110294,0.2496556162363207,0.2506730187780733,0.5413853536835641,0.5397378809037264,0.5424495283824541
11,1000,20,random,5,25.819907982018776,25.737258455948904,25.870883488096297,6.528626864310354,6.516281277872622,6.538329353905283,19.252826668322086,19.19240747019649,19.290384525083937,0.0287519597914069,0.0286764284828677,0.0295607812004163,36016.0,35906.0,36174.0,0.7167954786372446,0.7141732512414343,0.7169275617652466,0.1814816821108623,0.1807466510174513,0.1818896651991321,0.5336855895344872,0.5334117755331638,0.534518115919247
12,1000,40,nearest,5,15.650164130958728,15.491415817989036,15.803898551966997,5.969156965380535,5.951919873827137,6.051939597004093,9.682671178132296,9.525809620623477,9.734145481372252,0.0156497352290898,0.0156032386003062,0.0157404314959421,20096.0,20096.0,20096.0,0.7787701100198412,0.7708706119620341,0.7864201110652366,0.2970320942167861,0.2961743567788185,0.3011514528763979,0.4818208189755322,0.4740152080326172,0.4843822393198772
12,1000,40,ppo_sampled,5,31.425611892947927,31.38194998400286,31.47944735502824,10.82433784333989,10.808319590403698,10.832155417301692,20.572202491224743,20.54474084021058,20.597633787663653,0.0290715583832934,0.0289694900857284,0.0292921453947201,36621.0,36473.0,36761.0,0.8599973067895921,0.8552902466350623,0.8616130258807317,0.2950125808159827,0.2947155030080972,0.2967767346623499,0.5640392205528677,0.5594866035846859,0.5645361505997057
12,1000,40,random,5,28.09086068801116,27.92393892002292,28.108242533984598,6.985534119885415,6.963958740583621,6.989262796356343,21.075736831640825,20.930300008272752,21.08939437835943,0.0296620180597528,0.0295897364849224,0.0296801711665466,36724.0,36656.0,36752.0,0.764488482919016,0.7597937233354082,0.7649183282869829,0.1894851638164894,0.1892626313634316,0.1902171364743877,0.5738954588726943,0.5703331573114017,0.5744215258491059
13,2000,5,nearest,5,32.025460835080594,31.913998096017167,32.03753902902827,13.019291808246637,12.962296539684758,13.049595035030508,18.94435959821567,18.862809654907323,19.04347510414664,0.031767385196872,0.0317038804059848,0.0318966328632086,40096.0,40096.0,40096.0,0.7987195938517706,0.7959396971273236,0.7990208257439213,0.3247030079869971,0.3232815378013955,0.3254587748162038,0.4724750498357858,0.4704411825346,0.4749470047921647
13,2000,5,ppo_sampled,5,56.24607430689503,56.14581739902496,56.27018237207085,20.03266742208507,20.022258742596023,20.052017223788425,36.171013392158784,36.041354574263096,36.18506667588372,0.0526678124442696,0.0524482741020619,0.0528021721402183,65153.0,64841.0,65218.0,0.8636621855029062,0.8631037711163682,0.865899930584429,0.3079657474866278,0.3074711436477993,0.3092490434106263,0.5553860401805553,0.5546170289208314,0.555842053241978
13,2000,5,random,5,49.15075272100512,49.03809145302512,49.34919105598237,13.204843153245749,13.201838577981109,13.237298814114183,35.89632002601866,35.77882307639811,36.058780150604434,0.0531120912637561,0.0528115913039073,0.053225559880957,64961.0,64935.0,65198.0,0.7569223488258277,0.7569126515534583,0.7570321171370706,0.2033051683018796,0.2032733971651567,0.203680800409598,0.5528038812045685,0.5521530978967025,0.5530657405227835
14,2000,10,nearest,5,33.806131573044695,33.793324823025614,33.90266313403845,14.10803013772238,14.04866668372415,14.141857646405697,19.725295540411025,19.653195676859468,19.728907780488957,0.0320990084437653,0.0320450747385621,0.0321414701174944,40096.0,40096.0,40096.0,0.8431297778592551,0.8428103756740227,0.8455583772050991,0.3518562983270745,0.3503757652564881,0.3527087578602244,0.4919517044196684,0.4901535234651702,0.4920540661052239
14,2000,10,ppo_sampled,5,59.185670752078295,58.63696628797334,59.32405376597308,21.24597079853993,21.05202064430341,21.28949206066318,37.71942629455589,37.531190132838674,37.84206261741929,0.0541160739958286,0.0537555108312517,0.054126929375343,66555.0,66422.0,66606.0,0.8872080544069194,0.8860675764609638,0.888593681531368,0.3193882770173021,0.3177395208108744,0.3196332471648677,0.5667406850658235,0.5658684436083863,0.5681479538993377
14,2000,10,random,5,51.509247021982446,51.4833784790244,51.75685430993326,13.736452116863802,13.708629188477062,13.808464624686168,37.72066015179735,37.71821778186131,37.89355837425683,0.0545771232573315,0.0540891387499868,0.0548313109902665,66489.0,66415.0,66614.0,0.7756068310287098,0.7755664687492652,0.7769666182774381,0.207290729046239,0.2068275557760114,0.2077240984980442,0.56791715398421,0.5673218149137053,0.5688527693016007
15,2000,20,nearest,5,36.15153990511317,36.02040037000552,36.2474641869776,14.80562644766178,14.769731019856408,14.816594356903806,21.348939893534407,21.182448004488837,21.39789637620561,0.0328875994309783,0.0328689917223528,0.032888556830585,40096.0,40096.0,40096.0,0.9016245985912102,0.8983539597467458,0.9040169639609336,0.3692544505103197,0.3683592133842879,0.3695279917424133,0.5324456278315645,0.5282932962013376,0.5336666095422389
15,2000,20,ppo_sampled,5,70.40963698201813,70.27916335000191,70.60027749591973,23.97154110262636,23.952185235451907,24.055593200493604,46.377998130978085,46.266301544965245,46.48352664115373,0.0605518487282097,0.0600977484136819,0.060676569584757,71258.0,71208.0,71485.0,0.9831316129258152,0.9816747111429664,0.9907698433287452,0.3350658912422453,0.3342192446409341,0.3375844564890062,0.6472169202625061,0.6466175635906821,0.6523271301629814
15,2000,20,random,5,60.62937104899902,60.57091396802571,60.66102320502978,14.779360684216954,14.774598283460364,14.791594995185733,45.78810784092639,45.73608661768958,45.80856240040157,0.0613440211163833,0.0608658094424754,0.0614293013932183,71139.0,70976.0,71279.0,0.8542235551312982,0.851444551765216,0.8561675868531945,0.2082303973768168,0.2076863363761138,0.2093422535386686,0.6451209964061991,0.6429115761774776,0.6459512681268021
16,2000,40,nearest,5,37.52765298099257,37.12692880898248,37.92886886198539,15.67850346583873,15.264914365136065,15.696289991145022,21.829462174908254,21.81646191084292,22.145180794177577,0.0326602071290835,0.032552350196056,0.0326876043109223,40096.0,40096.0,40096.0,0.9359683995758216,0.925950937973426,0.9459514380981991,0.3910338811781701,0.3807091571512386,0.3914677272332657,0.5444299225585659,0.5441192645178431,0.5523039902777728
16,2000,40,ppo_sampled,5,78.21720428299159,78.1274451270001,78.39914930099621,27.35531478654593,27.312653717584908,27.384418764035217,50.848625606508,50.75320690497756,50.93765339453239,0.0618790284497663,0.0617902145022526,0.0618873670464381,73929.0,73641.0,74001.0,1.0569749636219996,1.0567902328856078,1.0607834222651946,0.369444382009562,0.369126919325963,0.3714685404400528,0.6871343036784368,0.6868163312967845,0.6884746022465135
16,2000,40,random,5,65.5122865800513,65.29539038601797,65.54334973997902,15.669025168637743,15.596588990651073,15.714536793879232,49.781799002201296,49.51957077591214,49.884885834297165,0.0614624092122539,0.0612828162265941,0.0618749150307849,72666.0,72635.0,73393.0,0.8982461714884016,0.8923180655964282,0.8989521633650165,0.215036810654209,0.2141416651590138,0.2156307649882716,0.681759080001544,0.6781799942126129,0.6823591661341295
